Date,Open,High,Low,Close,Volume,Number of Trades
2023-06-28,187.93,189.9,187.6,189.25,51216801.0,559145
2023-06-29,189.08,190.07,188.94,189.59,46347308.0,525367
2023-06-30,191.63,194.48,191.26,193.97,85068452.0,774380
2023-07-03,193.78,193.88,191.76,192.46,31458198.0,500175
2023-07-05,191.565,192.98,190.62,191.33,46896861.0,560170
2023-07-06,189.84,192.02,189.2,191.81,45155523.0,562755
2023-07-07,191.41,192.67,190.24,190.68,46757498.0,538826
2023-07-10,189.26,189.99,187.035,188.61,59912163.0,736912
2023-07-11,189.16,189.3,186.6,188.08,46638119.0,577717
2023-07-12,189.68,191.7,188.47,189.77,60750218.0,652126
2023-07-13,190.5,191.19,189.78,190.54,41337338.0,467952
2023-07-14,190.23,191.1799,189.63,190.69,41616242.0,513233
2023-07-17,191.9,194.32,191.81,193.99,50520159.0,602852
2023-07-18,193.35,194.33,192.415,193.73,48153774.0,544605
2023-07-19,193.1,198.23,192.65,195.1,80492323.0,776766
2023-07-20,195.09,196.47,192.495,193.13,59581196.0,639817
2023-07-21,194.1,194.97,191.23,191.94,71451683.0,580360
2023-07-24,193.41,194.91,192.25,192.75,45507451.0,525855
2023-07-25,193.33,194.44,192.915,193.62,37283201.0,445394
2023-07-26,193.67,195.64,193.32,194.5,47471868.0,502309
2023-07-27,196.02,197.2,192.55,193.22,47439680.0,570472
2023-07-28,194.67,196.626,194.14,195.83,47691443.0,519151
2023-07-31,196.06,196.49,195.26,196.45,38824113.0,530506
2023-08-01,196.235,196.73,195.28,195.605,35281426.0,477616
2023-08-02,195.04,195.18,191.8507,192.58,50388811.0,620582
2023-08-03,191.57,192.37,190.69,191.17,62243282.0,754703
2023-08-04,185.52,187.38,181.92,181.99,115956841.0,1336765
2023-08-07,182.13,183.13,177.35,178.85,97105069.0,1159281
2023-08-08,179.69,180.27,177.58,179.8,67769003.0,709019
2023-08-09,180.87,180.93,177.01,178.19,60303492.0,666112
2023-08-10,179.48,180.75,177.6,177.97,54686851.0,652995
2023-08-11,177.32,178.62,176.55,177.79,51036672.0,586481
2023-08-14,177.97,179.69,177.305,179.46,43675627.0,564982
2023-08-15,178.88,179.48,177.05,177.45,43574863.0,510071
2023-08-16,177.13,178.54,176.5,176.57,45712957.0,526074
2023-08-17,177.14,177.5054,173.48,174.0,66054482.0,673083
2023-08-18,172.3,175.1,171.96,174.49,60171878.0,596474
2023-08-21,175.07,176.13,173.735,175.84,46161959.0,559658
2023-08-22,177.06,177.68,176.25,177.23,42057245.0,501508
2023-08-23,178.52,181.55,178.325,181.12,52722752.0,587165
2023-08-24,180.674,181.104,176.01,176.38,54912798.0,610377
2023-08-25,177.38,179.15,175.82,178.61,51439994.0,554789
2023-08-28,180.09,180.59,178.545,180.19,43803238.0,532485
2023-08-29,179.695,184.9,179.5,184.12,52953948.0,576465
2023-08-30,184.94,187.85,184.74,187.65,60803988.0,636448
2023-08-31,187.84,189.12,187.48,187.87,60794467.0,554869
2023-09-01,189.485,189.92,188.28,189.46,45393903.0,530273
2023-09-05,188.28,189.98,187.61,189.7,45280027.0,602458
2023-09-06,188.4,188.85,181.47,182.91,81753366.0,880106
2023-09-07,175.18,178.21,173.54,177.56,112416703.0,1210080
2023-09-08,178.35,180.239,177.79,178.18,65402066.0,755389
2023-09-11,180.07,180.3,177.34,179.36,58953052.0,722430
2023-09-12,179.49,180.13,174.82,176.3,90316192.0,937419
2023-09-13,176.51,177.3,173.98,174.21,84267928.0,835150
2023-09-14,174.0,176.1,173.58,175.74,60345757.0,641017
2023-09-15,176.48,176.495,173.82,175.01,109259461.0,729794
2023-09-18,176.48,179.38,176.17,177.97,67257573.0,731278
2023-09-19,177.52,179.63,177.13,179.07,51826941.0,524402
2023-09-20,179.26,179.695,175.4,175.49,58436181.0,600225
2023-09-21,174.55,176.3,173.86,173.93,62449116.0,631478
2023-09-22,174.67,177.079,174.05,174.79,56688985.0,606168
2023-09-25,174.2,176.97,174.15,176.08,46172740.0,564218
2023-09-26,174.82,175.2,171.66,171.96,64548945.0,688340
2023-09-27,172.62,173.04,169.05,170.43,66920708.0,707850
2023-09-28,169.34,172.03,167.62,170.69,56294419.0,618584
2023-09-29,172.02,173.07,170.341,171.21,51861083.0,535134
2023-10-02,171.22,174.3,170.93,173.75,52156935.0,617249
2023-10-03,172.255,173.63,170.82,172.4,49594613.0,542569
2023-10-04,171.09,174.21,170.97,173.66,53006286.0,560975
2023-10-05,173.79,175.45,172.68,174.91,48527918.0,509175
2023-10-06,173.8,177.99,173.18,177.49,57266675.0,593944
2023-10-09,176.81,179.05,175.8,178.99,42344772.0,518256
2023-10-10,178.1,179.72,177.95,178.39,43698019.0,524939
2023-10-11,178.2,179.85,177.6,179.8,47544848.0,503477
2023-10-12,180.07,182.34,179.04,180.71,56743119.0,616891
2023-10-13,181.42,181.93,178.14,178.85,51412082.0,531441
2023-10-16,176.75,179.075,176.51,178.72,52516984.0,632605
2023-10-17,176.645,178.42,174.8,177.15,57549350.0,592323
2023-10-18,175.58,177.575,175.11,175.84,54764375.0,540187
2023-10-19,176.04,177.84,175.19,175.46,59192863.0,560260
2023-10-20,175.31,175.42,172.64,172.88,64211828.0,600318
2023-10-23,170.91,174.01,169.93,173.0,55980109.0,639616
2023-10-24,173.05,173.67,171.45,173.44,43816644.0,530406
2023-10-25,171.88,173.06,170.65,171.1,57156962.0,610143
2023-10-26,170.37,171.3775,165.67,166.89,70625258.0,815217
2023-10-27,166.91,168.96,166.83,168.22,58257129.0,609511
2023-10-30,169.02,171.17,168.87,170.29,51239218.0,628258
2023-10-31,169.35,170.9,167.9,170.77,44846017.0,509879
2023-11-01,171.0,174.23,170.12,173.97,56934906.0,633476
2023-11-02,175.52,177.78,175.46,177.57,77292052.0,805046
2023-11-03,174.24,176.82,173.35,176.65,79829246.0,858038
2023-11-06,176.38,179.43,176.21,179.23,63841310.0,678103
2023-11-07,179.18,182.44,178.97,181.82,70529966.0,653779
2023-11-08,182.35,183.45,181.59,182.89,49340282.0,542421
2023-11-09,182.96,184.12,181.81,182.41,53631840.0,545657
2023-11-10,183.97,186.565,183.53,186.4,66177922.0,610938
2023-11-13,185.82,186.03,184.21,184.8,43627519.0,530407
2023-11-14,187.7,188.11,186.3,187.44,60108378.0,609218
2023-11-15,187.845,189.5,187.78,188.01,53608999.0,564159
2023-11-16,189.57,190.96,188.65,189.71,54412915.0,620748
2023-11-17,190.25,190.38,188.57,189.69,50737404.0,510217
2023-11-20,189.89,191.905,189.88,191.45,46538614.0,554014
2023-11-21,191.41,191.52,189.74,190.64,38134485.0,450749
2023-11-22,191.49,192.93,190.825,191.31,39630011.0,463560
2023-11-24,190.87,190.9,189.25,189.97,24018404.0,335946
2023-11-27,189.92,190.67,188.9,189.79,40456609.0,508895
2023-11-28,189.78,191.08,189.4,190.4,38415419.0,458154
2023-11-29,190.9,192.09,188.97,189.37,43014224.0,493064
2023-11-30,189.84,190.32,188.19,189.95,48744366.0,486786
2023-12-01,190.33,191.56,189.23,191.24,45676673.0,515537
